test_start,test_end,start_capital,end_capital,profit,return_pct,sharpe,sortino,params
2024-01-31,2024-03-01,10000,10000,0,0.0,0,0,"{'adx_threshold': 31, 'adx_length': 16, 'sar_acceleration': 0.02, 'sar_maximum': 0.1, 'atr_multiplier': 3.0, 'atr_length': 20, 'use_dmp_cross': True}"
2024-03-01,2024-03-31,10000,10000,0,0.0,0,0,"{'adx_threshold': 20, 'adx_length': 18, 'sar_acceleration': 0.01, 'sar_maximum': 0.1, 'atr_multiplier': 3.0, 'atr_length': 19, 'use_dmp_cross': True}"
2024-03-31,2024-04-30,10000,10000,0,0.0,0,0,"{'adx_threshold': 17, 'adx_length': 14, 'sar_acceleration': 0.03, 'sar_maximum': 0.1, 'atr_multiplier': 3.5, 'atr_length': 13, 'use_dmp_cross': True}"
2024-04-30,2024-05-30,10000,10000,0,0.0,0,0,"{'adx_threshold': 18, 'adx_length': 19, 'sar_acceleration': 0.035, 'sar_maximum': 0.25, 'atr_multiplier': 3.0, 'atr_length': 12, 'use_dmp_cross': False}"
