close_timestamp,symbol,entry_time,exit_time,entry_price,exit_price,amount,gross_pnl,net_pnl,pnl_pct,fee_entry,fee_exit,fee_total,hold_duration_hours,exit_reason
2026-04-01T22:49:17.988Z,ETH-USD,2026-04-01T22:49:12.902Z,2026-04-01T22:49:17.988Z,2143.35,2142.64,0.00664415,-0.004717,-0.118617,-0.0331,0.05696,0.05694,0.1139,0.0,synced
2026-04-01T22:49:26.518Z,RENDER-USD,2026-04-01T22:49:23.000Z,2026-04-01T22:49:26.518Z,1.764,1.762,14.21262,-0.028425,-0.22888,-0.1134,0.1002842,0.1001705,0.200455,0.0,synced
2026-04-02T00:02:47.406Z,ETH-USD,2026-04-02T00:02:44.041Z,2026-04-02T00:02:47.406Z,2137.16,2137.67,0.00665175,0.003392,-0.110348,0.0239,0.05686,0.05688,0.11374,0.0,synced
2026-04-02T00:02:55.793Z,RENDER-USD,2026-04-02T00:02:52.423Z,2026-04-02T00:02:55.793Z,1.762,1.76,14.18842,-0.028377,-0.228263,-0.1135,0.1,0.0998865,0.199887,0.0,synced
2026-04-02T00:27:21.638Z,ETH-USD,2026-04-02T00:27:18.290Z,2026-04-02T00:27:21.638Z,2138.97,2138.9,0.00663823,-0.000465,-0.114055,-0.0033,0.0568,0.05679,0.11359,0.0,synced
2026-04-02T00:27:31.938Z,RENDER-USD,2026-04-02T00:27:28.872Z,2026-04-02T00:27:31.938Z,1.776,1.774,14.06074,-0.028121,-0.227784,-0.1126,0.0998875,0.099775,0.199663,0.0,synced
2026-04-02T04:02:49.056Z,ETH-USD,2026-04-02T04:02:45.705Z,2026-04-02T04:02:49.056Z,2056.79,2056.13,0.00689182,-0.004549,-0.117929,-0.0321,0.0567,0.05668,0.11338,0.0,synced
2026-04-02T04:02:57.448Z,RENDER-USD,2026-04-02T04:02:54.372Z,2026-04-02T04:02:57.448Z,1.718,1.716,14.56876,-0.029138,-0.229254,-0.1164,0.1001165,0.1,0.200117,0.0,synced
2026-04-02T12:02:37.385Z,ETH-USD,2026-04-02T04:20:43.780Z,2026-04-02T12:02:37.385Z,2053.5,2029.87,0.00689295,-0.16288,-0.27547,-1.1507,0.05662,0.05597,0.11259,7.7,synced
2026-04-02T12:02:56.864Z,XCN-USD,2026-04-02T05:53:41.342Z,2026-04-02T12:02:56.864Z,0.0047,0.0047,5319.1489,0.0,-0.2,0.0,0.099999999,0.099999999,0.2,6.15,synced
