timestamp,total_usd,free_usd,positions_usd,num_positions
2026-04-12T17:04:37-0700,336.17,320.22,15.94,3
2026-04-12T21:07:03-0700,336.3,295.08,41.21,4
2026-04-13T01:06:22-0700,336.49,320.45,16.03,3
2026-04-13T05:04:34-0700,336.61,320.45,16.16,3
2026-04-13T09:06:59-0700,336.62,311.3,25.32,4
2026-04-13T13:07:05-0700,337.01,311.3,25.71,4
2026-04-13T17:06:51-0700,337.7,311.3,26.4,4
2026-04-13T21:06:52-0700,337.44,311.3,26.13,4
2026-04-14T01:06:52-0700,337.28,311.3,25.98,4
2026-04-14T05:06:53-0700,337.34,311.3,26.04,4
2026-04-14T09:06:53-0700,337.38,311.3,26.08,4
2026-04-14T13:06:52-0700,336.65,311.3,25.35,4
2026-04-14T17:06:54-0700,336.82,311.3,25.52,4
2026-04-14T21:06:52-0700,336.8,311.3,25.5,4
2026-04-15T01:06:52-0700,336.43,311.3,25.13,4
2026-04-15T05:06:52-0700,336.62,311.3,25.32,4
2026-04-15T09:06:52-0700,336.79,311.3,25.49,4
2026-04-15T13:06:52-0700,337.21,311.3,25.91,4
2026-04-15T17:09:10-0700,337.14,286.21,50.93,5
2026-04-15T21:09:10-0700,337.64,286.21,51.44,5
2026-04-16T01:13:47-0700,337.57,240.49,97.07,7
2026-04-16T05:15:46-0700,338.54,225.77,112.77,8
2026-04-16T09:18:01-0700,339.91,220.25,119.66,9
2026-04-16T13:17:40-0700,341.73,220.25,121.48,9
2026-04-16T17:17:40-0700,340.69,220.25,120.44,9
2026-04-16T21:17:42-0700,338.85,225.7,113.14,8
2026-04-17T01:15:28-0700,339.43,225.7,113.73,8
2026-04-17T05:14:57-0700,339.35,239.72,99.62,7
2026-04-17T09:13:31-0700,341.99,239.72,102.26,7
2026-04-17T10:09:32-0700,342.31,239.72,102.58,7
2026-04-17T13:10:44-0700,341.36,239.72,101.64,7
2026-04-17T17:16:04-0700,339.8,232.23,107.57,8
2026-04-17T21:15:47-0700,339.44,232.23,107.21,8
2026-04-18T01:15:45-0700,339.38,232.23,107.14,8
2026-04-18T05:11:28-0700,337.97,265.97,72.0,6
2026-04-18T09:11:15-0700,337.46,265.97,71.49,6
2026-04-18T13:11:28-0700,336.05,265.97,70.08,6
2026-04-18T17:11:15-0700,335.7,265.97,69.73,6
2026-04-18T21:07:58-0700,335.06,281.27,53.78,4
2026-04-19T01:04:55-0700,335.45,301.37,34.08,3
2026-04-19T05:04:39-0700,335.52,301.37,34.15,3
2026-04-19T05:58:06-0700,335.56,301.37,34.19,2
2026-04-19T09:04:02-0700,335.58,301.37,34.22,2
2026-04-19T13:04:38-0700,335.44,301.37,34.07,2
2026-04-19T17:04:38-0700,334.43,301.37,33.06,2
2026-04-19T21:06:58-0700,335.16,276.18,58.98,3
2026-04-20T01:06:57-0700,335.02,276.18,58.84,3
2026-04-20T05:06:52-0700,335.11,276.18,58.93,3
2026-04-20T09:06:51-0700,335.31,276.18,59.13,3
2026-04-20T13:06:52-0700,335.71,276.18,59.53,3
2026-04-20T17:06:53-0700,335.37,276.18,59.19,3
2026-04-20T21:06:53-0700,335.55,276.18,59.37,3
2026-04-21T01:06:52-0700,335.36,276.18,59.18,3
2026-04-21T05:06:52-0700,336.32,276.18,60.14,3
2026-04-21T09:06:52-0700,337.08,276.18,60.9,3
2026-04-21T13:06:52-0700,335.52,276.18,59.34,3
2026-04-21T17:06:52-0700,337.53,276.18,61.35,3
2026-04-21T21:06:53-0700,338.39,276.18,62.21,3
2026-04-22T01:06:59-0700,338.33,276.18,62.15,3
2026-04-22T05:06:52-0700,338.35,276.18,62.17,3
2026-04-22T09:06:52-0700,338.27,276.18,62.1,3
2026-04-22T13:06:53-0700,337.35,276.18,61.17,3
2026-04-22T17:06:52-0700,336.6,276.18,60.42,3
2026-04-22T21:06:53-0700,335.99,276.18,59.82,3
2026-04-23T01:06:52-0700,335.7,276.18,59.52,3
2026-04-23T05:06:51-0700,335.95,276.18,59.77,3
2026-04-23T09:06:52-0700,337.42,276.18,61.24,3
2026-04-23T13:06:54-0700,336.95,276.18,60.77,3
2026-04-23T17:06:52-0700,338.2,276.18,62.02,3
2026-04-23T21:06:00-0700,337.49,276.18,61.31,3
2026-04-23T21:17:57-0700,337.36,276.18,61.18,3
2026-04-25T19:51:21-0700,337.79,276.18,61.61,3
2026-04-25T21:03:28-0700,338.06,276.18,61.88,3
2026-04-26T01:06:58-0700,338.74,276.18,62.56,3
2026-04-26T05:06:52-0700,338.82,276.18,62.64,3
2026-04-26T09:06:52-0700,339.16,276.18,62.98,3
2026-04-26T13:06:52-0700,339.04,276.18,62.87,3
2026-04-26T17:06:52-0700,338.37,276.18,62.19,3
2026-04-26T21:06:52-0700,339.23,276.18,63.05,3
2026-04-27T01:06:52-0700,337.47,276.18,61.29,3
2026-04-27T05:06:52-0700,337.11,276.18,60.93,3
2026-04-27T09:06:52-0700,335.98,276.18,59.8,3
2026-04-27T13:06:52-0700,336.89,276.18,60.71,3
2026-04-27T14:03:51-0700,336.83,276.18,60.65,3
2026-04-27T17:05:45-0700,337.38,276.18,61.2,3
2026-04-27T21:06:59-0700,337.02,276.18,60.85,3
2026-04-27T21:46:55-0700,336.86,276.18,60.68,3
2026-04-28T01:06:02-0700,336.81,276.18,60.63,3
2026-04-28T05:06:58-0700,336.02,276.18,59.85,3
2026-04-28T09:06:51-0700,336.36,276.18,60.18,3
2026-04-28T13:06:53-0700,337.2,276.18,61.02,3
2026-04-28T17:06:52-0700,337.32,276.18,61.14,3
2026-04-28T21:06:53-0700,337.79,276.18,61.61,3
2026-04-29T01:06:52-0700,338.7,276.18,62.52,3
2026-04-29T05:06:52-0700,338.37,276.18,62.19,3
2026-04-29T09:06:52-0700,337.65,276.18,61.47,3
2026-04-29T13:06:54-0700,337.89,276.18,61.71,3
2026-04-29T17:06:52-0700,338.15,276.18,61.98,3
2026-04-29T21:06:53-0700,337.85,276.18,61.67,3
2026-04-30T01:06:52-0700,337.46,276.18,61.28,3
2026-04-30T05:06:51-0700,337.68,276.18,61.5,3
2026-04-30T09:06:54-0700,338.42,276.18,62.24,3
2026-04-30T13:06:52-0700,337.79,276.18,61.62,3
2026-04-30T17:06:52-0700,338.43,276.18,62.25,3
2026-04-30T21:06:51-0700,339.18,276.18,63.0,3
2026-05-01T02:27:59-0700,339.72,276.18,63.55,3
2026-05-01T05:05:13-0700,339.1,276.18,62.92,3
2026-05-01T09:06:58-0700,340.42,276.18,64.24,3
2026-05-01T13:06:52-0700,340.71,276.18,64.53,3
2026-05-01T17:06:52-0700,340.95,276.18,64.77,3
2026-05-01T21:06:52-0700,340.14,276.18,63.96,3
2026-05-01T21:43:03-0700,339.85,276.18,63.67,3
2026-05-02T01:06:08-0700,340.3,276.18,64.12,3
2026-05-02T05:06:58-0700,340.18,276.18,64.0,3
2026-05-02T09:06:51-0700,342.61,276.18,66.43,3
