timestamp,total_usd,free_usd,positions_usd,num_positions
2026-04-01T19:52:34Z,134.72,134.71,0.01,1
2026-04-01T20:02:07Z,134.72,134.71,0.01,1
2026-04-01T21:02:55Z,134.56,122.02,12.54,3
2026-04-01T21:11:53Z,134.55,121.95,12.6,3
2026-04-01T21:16:58Z,134.47,121.89,12.59,3
2026-04-01T14:20:54-0700,134.42,121.82,12.6,3
2026-04-01T14:25:23-0700,134.35,121.76,12.59,3
2026-04-01T14:42:35-0700,134.28,121.69,12.59,3
2026-04-01T15:48:37-0700,234.11,229.91,4.2,2
2026-04-01T17:02:07-0700,233.76,229.57,4.19,2
2026-04-01T17:26:42-0700,233.42,229.23,4.2,2
2026-04-01T21:02:10-0700,233.04,233.04,0.01,1
2026-04-01T21:20:08-0700,232.7,232.69,0.01,1
2026-04-01T21:34:58-0700,232.62,218.48,14.14,2
2026-04-01T22:53:09-0700,232.6,218.48,14.12,2
2026-04-02T01:02:08-0700,232.7,193.38,39.32,3
2026-04-02T05:02:07-0700,232.42,193.38,39.04,3
2026-04-02T09:02:08-0700,232.25,227.04,5.21,2
2026-04-02T10:44:39-0700,232.04,162.58,69.46,5
2026-04-02T15:58:26-0700,231.73,167.59,64.14,4
2026-04-02T17:02:08-0700,231.37,97.21,134.15,8
2026-04-02T21:02:07-0700,232.18,97.21,134.97,8
2026-04-03T01:02:07-0700,233.45,97.21,136.24,8
2026-04-03T05:02:07-0700,234.0,95.55,138.46,8
2026-04-03T09:02:08-0700,233.02,95.55,137.48,8
2026-04-03T13:02:11-0700,232.31,120.53,111.78,7
2026-04-03T17:02:07-0700,231.77,120.53,111.24,7
2026-04-03T21:02:07-0700,231.43,120.53,110.9,7
2026-04-04T01:02:07-0700,231.93,113.63,118.29,8
2026-04-04T05:02:07-0700,231.92,113.63,118.29,8
2026-04-04T09:02:08-0700,232.49,113.63,118.86,8
2026-04-04T13:02:07-0700,233.66,113.63,120.03,8
2026-04-04T17:02:07-0700,232.96,113.63,119.33,8
2026-04-04T21:02:10-0700,232.18,120.46,111.72,7
2026-04-05T01:02:10-0700,230.39,134.68,95.71,6
2026-04-05T05:02:08-0700,230.35,132.81,97.54,6
2026-04-05T09:02:10-0700,230.35,139.79,90.56,5
2026-04-05T13:02:07-0700,230.07,139.79,90.28,5
2026-04-05T17:02:07-0700,233.2,139.79,93.41,5
2026-04-05T21:02:07-0700,234.86,139.79,95.06,5
2026-04-06T01:02:07-0700,234.28,139.79,94.49,5
2026-04-06T05:02:09-0700,235.55,139.79,95.75,5
2026-04-06T09:02:07-0700,234.97,139.79,95.18,5
2026-04-06T13:02:07-0700,234.28,139.79,94.49,5
2026-04-06T17:02:11-0700,231.97,140.63,91.34,5
2026-04-06T20:02:32-0700,231.86,140.63,91.24,5
2026-04-06T20:11:25-0700,231.87,140.63,91.24,5
2026-04-06T20:15:08-0700,231.86,140.63,91.23,5
2026-04-06T20:15:55-0700,231.86,140.63,91.23,5
2026-04-06T20:17:37-0700,231.83,140.63,91.2,5
2026-04-06T20:22:05-0700,231.79,140.63,91.16,5
2026-04-06T21:03:11-0700,232.09,140.63,91.46,5
2026-04-07T01:09:19-0700,232.71,140.63,92.08,5
2026-04-07T05:09:10-0700,231.35,165.29,66.06,4
2026-04-07T09:09:11-0700,232.18,140.13,92.05,7
2026-04-07T10:09:09-0700,232.22,140.13,92.09,7
2026-04-07T13:07:20-0700,234.5,140.13,94.38,7
2026-04-07T17:07:58-0700,240.38,159.72,80.67,6
2026-04-07T21:05:04-0700,239.15,186.59,52.56,5
2026-04-08T01:04:40-0700,239.14,186.59,52.54,5
2026-04-08T05:04:39-0700,238.8,186.59,52.21,5
2026-04-08T09:09:23-0700,237.75,165.8,71.96,7
2026-04-08T13:07:08-0700,237.41,179.01,58.4,6
2026-04-08T17:06:52-0700,236.83,179.01,57.82,6
2026-04-08T19:33:52-0700,236.39,179.01,57.39,6
2026-04-08T20:34:50-0700,236.12,179.01,57.12,6
2026-04-08T21:02:38-0700,235.99,179.01,56.99,3
2026-04-08T22:12:19-0700,235.86,179.01,56.86,3
2026-04-08T22:26:24-0700,236.0,179.01,57.0,3
2026-04-09T01:05:13-0700,236.08,179.01,57.07,3
2026-04-09T05:06:58-0700,236.29,179.01,57.28,3
2026-04-09T09:06:57-0700,237.43,179.01,58.43,3
2026-04-09T13:06:52-0700,238.0,179.01,59.0,3
2026-04-09T17:02:52-0700,237.31,179.01,58.3,3
2026-04-09T17:08:50-0700,237.12,179.01,58.11,3
2026-04-09T17:11:38-0700,237.08,179.01,58.07,3
2026-04-09T21:06:46-0700,237.15,179.01,58.15,3
2026-04-10T01:06:52-0700,236.76,179.01,57.75,3
2026-04-10T05:09:10-0700,237.43,169.87,67.56,4
2026-04-10T09:06:53-0700,237.95,194.61,43.34,4
2026-04-10T13:06:54-0700,238.78,194.61,44.18,4
2026-04-10T14:10:07-0700,238.25,181.0,57.24,5
2026-04-10T17:05:38-0700,237.5,194.29,43.2,4
2026-04-10T21:06:58-0700,337.51,294.29,43.22,4
2026-04-11T01:09:10-0700,337.38,285.09,52.29,5
2026-04-11T05:09:09-0700,337.67,285.09,52.58,5
2026-04-11T09:09:11-0700,337.86,285.09,52.77,5
2026-04-11T13:09:10-0700,340.56,285.09,55.47,5
2026-04-11T17:09:10-0700,338.58,285.09,53.49,5
2026-04-11T21:08:01-0700,336.32,311.54,24.79,4
2026-04-12T01:06:53-0700,336.4,311.54,24.87,4
2026-04-12T05:06:14-0700,336.3,320.22,16.07,3
2026-04-12T09:04:37-0700,336.11,320.22,15.88,3
2026-04-12T13:04:37-0700,336.34,320.22,16.12,3
