timestamp,run_id,type,status,summary_metric
2026-02-09T21:44:38.728028,e1c9ead1-a7c7-4b5c-ae9b-50e7299fbd88,run_backtest,SUCCESS,-43.0374
2026-02-09T21:46:43.164816,27ebe49b-5574-45a7-ba86-f12d81cda31b,run_backtest,SUCCESS,-54.6702
2026-02-09T21:47:58.063555,1fe94017-88e3-47cc-99dd-381c9368e9cd,run_backtest,SUCCESS,-36.7992
2026-02-09T21:54:14.415024,2da78a64-0f32-4478-840d-44286929417f,run_backtest,SUCCESS,-52.7409
2026-02-09T22:03:38.076573,10ce787d-e7cf-4144-8583-e965d2df0892,unified_final_test,SUCCESS,12.1167
2026-02-09T22:04:50.019186,67fc5989-6d9c-4bce-af5b-8a2faa718cbf,run_backtest,SUCCESS,-52.7409
2026-02-09T22:06:10.672212,53037389-cd51-4706-bc3f-9610aa3d4d43,run_backtest,SUCCESS,-45.7021
2026-02-09T22:10:50.075909,0e18ad13-635f-4d16-b448-38047d26d862,run_backtest,SUCCESS,-22.6016
2026-02-09T22:54:14.851908,b1632c7a-50fa-4f99-b5c1-56fb2f9b402f,run_backtest,SUCCESS,-52.1122
2026-02-09T22:58:52.489766,c6641f35-9ec9-45be-a6b7-dba76eb6b802,run_wfo,SUCCESS,0.0000
2026-02-09T23:00:32.330485,20799eac-1322-4aa6-a129-d8518f257243,run_backtest,SUCCESS,-52.1122
2026-02-09T23:01:14.747756,51ff6c6f-483f-4b1e-b75f-02cede62ee4a,run_wfo,SUCCESS,0.0000
2026-02-09T23:03:33.577820,218bb707-cf06-4cd7-8659-1c29d02baa26,run_backtest,SUCCESS,-54.6702
2026-02-09T23:26:21.474395,eb96d515-ae4e-457c-972e-efc4c6294a77,run_backtest,SUCCESS,0.0000
2026-02-09T23:36:13.557977,863bf502-cbf6-4ec8-b362-29b12ad732b3,run_backtest,SUCCESS,0.0000
2026-02-09T23:36:54.006836,07a6a082-1215-4648-9857-51af6876a1ea,run_backtest,SUCCESS,0.0000
