close_timestamp,symbol,entry_time,exit_time,entry_price,exit_price,amount,gross_pnl,net_pnl,pnl_pct,fee_entry,fee_exit,fee_total,hold_duration_hours,exit_reason
2026-04-01T15:48:27-0700,LINK-USD,2026-04-01T20:02:58Z,2026-04-01T15:48:27-0700,13.6666,8.94267,0.93047788,-4.395512,-4.462329,-34.5655,0.033533,0.033284,0.066817,2.76,trailing_stop
2026-04-01T21:02:03-0700,XRP-USD,2026-04-01T20:03:24Z,2026-04-01T21:02:03-0700,2.1421,1.34277,3.10564077,-2.482432,-2.515894,-37.3153,0.01678189,0.01668077,0.033463,7.98,trailing_stop
2026-04-02T05:02:40-0700,ETH-USD,2026-04-02T04:20:46Z,2026-04-02T05:02:40-0700,3178.81,2029.86,0.00689295,-7.919655,-8.032245,-36.144,0.05662,0.05597,0.11259,7.7,strategy_signal
2026-04-02T05:02:59-0700,XCN-USD,2026-04-02T05:53:44Z,2026-04-02T05:02:59-0700,0.00598,0.0047,5319.1489,-6.808511,-7.008511,-21.4047,0.099999999,0.099999999,0.2,6.15,strategy_signal
2026-04-02T10:45:36-0700,XCN-USD,2026-04-02T16:03:04Z,2026-04-02T10:45:36-0700,0.00897,0.00472,5263.1578,-22.368421,-22.56821,-47.3802,0.100210525,0.099578946,0.199789,1.71,strategy_signal
2026-04-02T15:58:16-0700,SUI-USD,2026-04-02T12:02:52Z,2026-04-02T15:58:16-0700,1.836,0.8508,6.06466,-5.974903,-6.016162,-53.6601,0.02061741,0.02064168,0.041259,10.92,trailing_stop
2026-04-03T01:02:49-0700,DOGE-USD,2026-04-02T22:59:17Z,2026-04-03T01:02:49-0700,0.1528064,0.091224,142.37527372,-8.767811,-8.871301,-40.3009,0.051537571,0.051952168,0.10349,9.06,strategy_signal
2026-04-03T13:02:04-0700,VIRTUAL-USD,2026-04-02T17:45:28Z,2026-04-03T13:02:04-0700,1.0944,0.6389,39.26495,-17.885185,-18.084825,-41.621,0.09929,0.10035,0.19964,26.28,trailing_stop
2026-04-04T21:02:03-0700,PEPE-USD,2026-04-04T04:03:03Z,2026-04-04T21:02:03-0700,6.694e-06,3.367e-06,2036355.04,-6.774953,-6.829863,-49.7012,0.02748,0.02743,0.05491,23.98,trailing_stop
2026-04-05T01:02:03-0700,LINK-USD,2026-04-03T08:03:09Z,2026-04-05T01:02:03-0700,13.98927,8.547,1.66953103,-9.086039,-9.201307,-38.9032,0.05819,0.057078,0.115268,47.98,trailing_stop
2026-04-05T01:02:52-0700,ETH-USD,2026-04-02T16:02:46Z,2026-04-05T01:02:52-0700,3224.67,2036.65,0.00685908,-8.148724,-8.261114,-36.8416,0.05651,0.05588,0.11239,64.0,strategy_signal
2026-04-05T09:02:03-0700,XRP-USD,2026-04-02T22:59:37Z,2026-04-05T09:02:03-0700,2.38621,1.27859,5.48110845,-6.070985,-6.127922,-46.4175,0.02890364,0.02803258,0.056936,65.04,trailing_stop
2026-04-06T17:02:04-0700,AVAX-USD,2026-04-02T22:59:46Z,2026-04-06T17:02:04-0700,14.42,9.1,2.85714285,-15.2,-15.40411,-36.8932,0.1,0.10411,0.20411,97.04,trailing_stop
