train_start,train_end,test_start,test_end,start_capital,end_capital,profit,params
2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,10000.0,10200.385818385541,200.38581838554092,"{'adx_threshold': 29, 'adx_length': 17, 'sar_acceleration': 0.025, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 3.0, 'atr_length': 20, 'use_dmp_cross': False}"
2023-01-31 00:00:00+00:00,2023-05-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,2023-05-31 00:00:00+00:00,10200.385818385541,10311.021723949183,110.63590556364215,"{'adx_threshold': 34, 'adx_length': 18, 'sar_acceleration': 0.05, 'sar_maximum': 0.25, 'atr_multiplier': 3.5, 'atr_length': 12, 'use_dmp_cross': False}"
2023-03-02 00:00:00+00:00,2023-05-31 00:00:00+00:00,2023-05-31 00:00:00+00:00,2023-06-30 00:00:00+00:00,10311.021723949183,10719.102871241967,408.0811472927835,"{'adx_threshold': 35, 'adx_length': 17, 'sar_acceleration': 0.015, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 4.0, 'atr_length': 11, 'use_dmp_cross': False}"
2023-04-01 00:00:00+00:00,2023-06-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,2023-07-30 00:00:00+00:00,10719.102871241967,10597.483924836728,-121.6189464052386,"{'adx_threshold': 35, 'adx_length': 20, 'sar_acceleration': 0.01, 'sar_maximum': 0.1, 'atr_multiplier': 3.0, 'atr_length': 17, 'use_dmp_cross': True}"
2023-05-01 00:00:00+00:00,2023-07-30 00:00:00+00:00,2023-07-30 00:00:00+00:00,2023-08-29 00:00:00+00:00,10597.483924836728,10453.188934774384,-144.29499006234437,"{'adx_threshold': 35, 'adx_length': 16, 'sar_acceleration': 0.02, 'sar_maximum': 0.25, 'atr_multiplier': 2.0, 'atr_length': 10, 'use_dmp_cross': True}"
2023-05-31 00:00:00+00:00,2023-08-29 00:00:00+00:00,2023-08-29 00:00:00+00:00,2023-09-28 00:00:00+00:00,10453.188934774384,10269.860056013295,-183.32887876108907,"{'adx_threshold': 35, 'adx_length': 17, 'sar_acceleration': 0.035, 'sar_maximum': 0.3, 'atr_multiplier': 2.0, 'atr_length': 17, 'use_dmp_cross': True}"
2023-06-30 00:00:00+00:00,2023-09-28 00:00:00+00:00,2023-09-28 00:00:00+00:00,2023-10-28 00:00:00+00:00,10269.860056013295,10975.938438934962,706.0783829216671,"{'adx_threshold': 34, 'adx_length': 20, 'sar_acceleration': 0.045000000000000005, 'sar_maximum': 0.1, 'atr_multiplier': 2.5, 'atr_length': 15, 'use_dmp_cross': True}"
2023-07-30 00:00:00+00:00,2023-10-28 00:00:00+00:00,2023-10-28 00:00:00+00:00,2023-11-27 00:00:00+00:00,10975.938438934962,12943.329345557066,1967.390906622104,"{'adx_threshold': 33, 'adx_length': 16, 'sar_acceleration': 0.025, 'sar_maximum': 0.1, 'atr_multiplier': 3.5, 'atr_length': 14, 'use_dmp_cross': False}"
2023-08-29 00:00:00+00:00,2023-11-27 00:00:00+00:00,2023-11-27 00:00:00+00:00,2023-12-27 00:00:00+00:00,12943.329345557066,13060.588268258001,117.25892270093573,"{'adx_threshold': 34, 'adx_length': 11, 'sar_acceleration': 0.04, 'sar_maximum': 0.1, 'atr_multiplier': 3.0, 'atr_length': 14, 'use_dmp_cross': False}"
2023-09-28 00:00:00+00:00,2023-12-27 00:00:00+00:00,2023-12-27 00:00:00+00:00,2024-01-26 00:00:00+00:00,13060.588268258001,11752.018229776457,-1308.5700384815445,"{'adx_threshold': 28, 'adx_length': 15, 'sar_acceleration': 0.03, 'sar_maximum': 0.1, 'atr_multiplier': 3.5, 'atr_length': 16, 'use_dmp_cross': False}"
2023-10-28 00:00:00+00:00,2024-01-26 00:00:00+00:00,2024-01-26 00:00:00+00:00,2024-02-25 00:00:00+00:00,11752.018229776457,12769.113403219835,1017.0951734433784,"{'adx_threshold': 27, 'adx_length': 15, 'sar_acceleration': 0.015, 'sar_maximum': 0.2, 'atr_multiplier': 3.0, 'atr_length': 19, 'use_dmp_cross': True}"
2023-11-27 00:00:00+00:00,2024-02-25 00:00:00+00:00,2024-02-25 00:00:00+00:00,2024-03-26 00:00:00+00:00,12769.113403219835,14978.904273242297,2209.7908700224616,"{'adx_threshold': 27, 'adx_length': 10, 'sar_acceleration': 0.015, 'sar_maximum': 0.1, 'atr_multiplier': 4.0, 'atr_length': 10, 'use_dmp_cross': True}"
2023-12-27 00:00:00+00:00,2024-03-26 00:00:00+00:00,2024-03-26 00:00:00+00:00,2024-04-25 00:00:00+00:00,14978.904273242297,13662.638716076794,-1316.2655571655032,"{'adx_threshold': 22, 'adx_length': 10, 'sar_acceleration': 0.04, 'sar_maximum': 0.2, 'atr_multiplier': 4.0, 'atr_length': 12, 'use_dmp_cross': True}"
2024-01-26 00:00:00+00:00,2024-04-25 00:00:00+00:00,2024-04-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,13662.638716076794,13871.732567410922,209.09385133412798,"{'adx_threshold': 16, 'adx_length': 10, 'sar_acceleration': 0.025, 'sar_maximum': 0.25, 'atr_multiplier': 3.0, 'atr_length': 15, 'use_dmp_cross': False}"
2024-02-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2024-06-24 00:00:00+00:00,13871.732567410922,12995.572064365671,-876.1605030452502,"{'adx_threshold': 18, 'adx_length': 10, 'sar_acceleration': 0.035, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 3.5, 'atr_length': 12, 'use_dmp_cross': True}"
2024-03-26 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-06-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,12995.572064365671,12676.732559857515,-318.8395045081561,"{'adx_threshold': 31, 'adx_length': 12, 'sar_acceleration': 0.02, 'sar_maximum': 0.3, 'atr_multiplier': 3.0, 'atr_length': 12, 'use_dmp_cross': True}"
2024-04-25 00:00:00+00:00,2024-07-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,2024-08-23 00:00:00+00:00,12676.732559857515,13043.21232170024,366.47976184272557,"{'adx_threshold': 34, 'adx_length': 20, 'sar_acceleration': 0.035, 'sar_maximum': 0.25, 'atr_multiplier': 3.5, 'atr_length': 14, 'use_dmp_cross': False}"
2024-05-25 00:00:00+00:00,2024-08-23 00:00:00+00:00,2024-08-23 00:00:00+00:00,2024-09-22 00:00:00+00:00,13043.21232170024,13309.582344973538,266.3700232732972,"{'adx_threshold': 29, 'adx_length': 17, 'sar_acceleration': 0.025, 'sar_maximum': 0.1, 'atr_multiplier': 3.5, 'atr_length': 10, 'use_dmp_cross': False}"
2024-06-24 00:00:00+00:00,2024-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,13309.582344973538,13356.551200893413,46.96885591987484,"{'adx_threshold': 15, 'adx_length': 13, 'sar_acceleration': 0.025, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 4.0, 'atr_length': 17, 'use_dmp_cross': False}"
2024-07-24 00:00:00+00:00,2024-10-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,2024-11-21 00:00:00+00:00,13356.551200893413,13804.367833296687,447.8166324032736,"{'adx_threshold': 35, 'adx_length': 16, 'sar_acceleration': 0.035, 'sar_maximum': 0.3, 'atr_multiplier': 2.0, 'atr_length': 12, 'use_dmp_cross': False}"
2024-08-23 00:00:00+00:00,2024-11-21 00:00:00+00:00,2024-11-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,13804.367833296687,12912.6911975798,-891.6766357168872,"{'adx_threshold': 17, 'adx_length': 19, 'sar_acceleration': 0.015, 'sar_maximum': 0.25, 'atr_multiplier': 3.0, 'atr_length': 15, 'use_dmp_cross': True}"
