window_start,window_end,params,end_capital,net_profit,sharpe,sortino
2025-01-31 00:00:00+00:00,2025-02-10 00:00:00+00:00,"{'adx_threshold': 18, 'adx_length': 15, 'sar_acceleration': 0.02, 'sar_maximum': 0.2, 'atr_multiplier': 3.0, 'atr_length': 15, 'use_dmp_cross': True}",496156.6963423224,-3843.303657677625,inf,inf
2025-02-10 00:00:00+00:00,2025-02-20 00:00:00+00:00,"{'adx_threshold': 29, 'adx_length': 18, 'sar_acceleration': 0.03, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 1.5, 'atr_length': 12, 'use_dmp_cross': True}",24364991.992612973,-442842.8245031517,inf,inf
