symbol,qty,entry_price,exit_price,entry_date,exit_date,cost,current_value,current_price,profit,profit_pct,status,stop_loss_triggered
BTC,0.11866478935261636,16854.19921875,20860.0,2023-01-06 00:00:00+00:00,2023-01-18 16:00:00+00:00,2000.0,2475.3475058955773,20860.0,475.34750589557734,0.23767375294778867,closed,False
ETH,1.5923632981541072,1254.989990234375,1549.61,2023-01-06 00:00:00+00:00,2023-01-25 00:00:00+00:00,1998.4,2467.5420671269517,1549.61,469.1420671269516,0.23475884063598457,closed,False
BTC,0.11811693201560965,16969.900390625,20860.0,2023-01-07 00:00:00+00:00,2023-01-18 16:00:00+00:00,2004.4325707511207,2463.9192018456174,20860.0,459.4866310944967,0.22923526478234854,closed,False
ETH,1.576621109459453,1270.3299560546875,1547.01,2023-01-07 00:00:00+00:00,2023-01-25 04:00:00+00:00,2002.8290246945196,2439.0486379415593,1547.01,436.21961324703966,0.21780172339652099,closed,False
BTC,0.10739305796953807,22580.19921875,22819.9,2023-01-21 00:00:00+00:00,2023-01-27 04:00:00+00:00,2424.956643662937,2450.698885509475,22819.9,25.742241846538036,0.010615547256817737,closed,False
ETH,1.464536305233403,1654.4599609375,1549.61,2023-01-21 00:00:00+00:00,2023-01-25 00:00:00+00:00,2423.0166783480067,2269.460082499565,1549.61,-153.5565958484417,-0.0633741390311582,closed,False
ETH,1.43119829339894,1629.0999755859375,1578.26,2023-01-26 00:00:00+00:00,2023-01-30 12:00:00+00:00,2331.5651048348486,2258.803032516357,1578.26,-72.76207231849185,-0.0312073946241556,closed,False
ETH,1.4550916241715057,1588.43994140625,1582.97,2023-01-27 00:00:00+00:00,2023-01-30 16:00:00+00:00,2311.3256542397116,2303.366345685131,1582.97,-7.95930855458073,-0.003443611911623448,closed,False
ETH,1.4426791794183804,1604.1300048828125,1578.26,2023-01-28 00:00:00+00:00,2023-01-30 12:00:00+00:00,2314.2449591247387,2276.922855797517,1578.26,-37.32210332722161,-0.01612711877369155,closed,False
BTC,0.0988157408687758,23764.5,22689.9,2023-01-30 00:00:00+00:00,2023-01-30 20:00:00+00:00,2348.3066738760226,2242.119317338335,22689.9,-106.18735653768772,-0.04521869214058786,closed,False
BTC,0.1036189018104212,21820.19921875,23716.0,2023-02-12 00:00:00+00:00,2023-02-17 00:00:00+00:00,2260.9850803314857,2457.425875335949,23716.0,196.44079500446333,0.08688283558937192,closed,False
BTC,0.10355156848899638,21816.099609375,23808.1,2023-02-13 00:00:00+00:00,2023-02-17 04:00:00+00:00,2259.0913328629626,2465.3660572930435,23808.1,206.27472443008082,0.09130871400788713,closed,False
ETH,1.4859839947591327,1519.050048828125,1643.79,2023-02-13 00:00:00+00:00,2023-02-22 04:00:00+00:00,2257.284059796673,2442.6456887913646,1643.79,185.36162899469173,0.08211710360077072,closed,False
SOL,104.95478159939873,21.489999771118164,23.34,2023-02-13 00:00:00+00:00,2023-02-22 08:00:00+00:00,2255.4782325488354,2449.644618544795,23.34,194.16638599595944,0.08608657055250715,closed,False
ETH,1.4574036176880563,1653.8499755859375,1643.79,2023-02-17 00:00:00+00:00,2023-02-22 04:00:00+00:00,2410.326937532249,2395.665549649279,1643.79,-14.661387882969848,-0.00608273826038742,closed,False
ETH,1.4344141340190113,1695.760009765625,1646.1,2023-02-18 00:00:00+00:00,2023-02-22 12:00:00+00:00,2432.422125912029,2361.189070988818,1646.1,-71.23305492321106,-0.029284824440783463,closed,False
BTC,0.10117395638440174,23499.099609375,22385.7,2023-02-27 00:00:00+00:00,2023-03-03 04:00:00+00:00,2377.4968789516183,2264.8497563921487,22385.7,-112.64712255946961,-0.04738055538863316,closed,False
ETH,1.45033757729265,1637.9599609375,1572.21,2023-02-27 00:00:00+00:00,2023-03-03 08:00:00+00:00,2375.5948814484573,2280.2351857414656,1572.21,-95.35969570699172,-0.040141396351573475,closed,False
SOL,102.84637839644083,23.079999923706055,21.08,2023-02-27 00:00:00+00:00,2023-03-03 04:00:00+00:00,2373.694405543298,2168.0016487504167,21.08,-205.69275679288148,-0.08665511293809613,closed,False
