window_start,window_end,params,end_capital,net_profit,sharpe,sortino
2025-01-31 00:00:00+00:00,2025-02-10 00:00:00+00:00,"{'adx_threshold': 34, 'adx_length': 14, 'sar_acceleration': 0.04, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 2.0, 'atr_length': 19, 'use_dmp_cross': False}",479485.49619611376,-20514.503803886244,inf,inf
2025-02-10 00:00:00+00:00,2025-02-20 00:00:00+00:00,"{'adx_threshold': 32, 'adx_length': 20, 'sar_acceleration': 0.015, 'sar_maximum': 0.3, 'atr_multiplier': 1.5, 'atr_length': 14, 'use_dmp_cross': True}",23749912.99330782,-224361.81649786787,inf,inf
